"chan1","chan2","chan3"
0.5,0.5,0.5
0.54153,0.43909,0
0,1,0
0.40171,0.1108,0.70748
0,0,0.63769
0.44392,1,0.95206
0.50078,0.90169,1
0.60551,0.78535,1
1,1,0.64451
0.35592,0.52185,0.3588
0.47334,0.43518,0.80372
0.58542,0.44384,0
0.4418,0.50042,0.88826
0.45184,0.54725,0.61372
0.61097,0.53592,0.47068
0.45506,0.45048,0.41261
0.49793,0.60728,0.64364
0.49793,0.60728,0.70828
0.51168,0.5123,0.93527
0.51639,0.52968,0.64244
0.47891,0.52369,0.98082
0.50388,0.4923,0.77198
0.43798,0.47262,0.88039
0.48041,0.45715,0.29911
0.44315,0.5398,0.18536
0.62077,0.53806,0.37083
0.483,0.41016,0.80997
0.45199,0.45293,0.54515
0.49382,0.49172,0.51367
0.48196,0.49606,0.49017
0.47934,0.56823,0.87203
0.54297,0.54284,0.85195
0.50882,0.49937,1
0,0.45393,0.51841
