"chan1","chan2","chan3","chan4"
0,0.47782,0,0.5
0,0.12319,1,0
0.61157,0.19068,0,0.76514
0.49653,0.18862,1,0.65121
0.43489,0.14972,0.92312,0.48357
0.71036,0.28138,0.92496,1
0.72016,0.41328,0.93376,1
0.48275,0.40301,0.64181,0.83136
0.39447,0.33936,0.64204,0.65579
0.65026,0.43241,0.6355,0.99213
0.23473,0.27292,0.64409,0.43002
0.56627,0.31258,1,0.71329
0.50815,0.31759,0.99149,0.68618
0.49181,0.31245,0.99156,0.66622
0.55597,0.34653,0.99158,0.77085
0.94398,0.61916,1,1
0.59789,0.67753,0,0.9297
0.51428,0.68652,0.00225,0.9064
0.48666,0.67843,0.0017,0.88507
0.50753,0.683,0.0021,0.89929
0.83759,0.8906,0.00106,1
0.62681,0.96696,0,1
1,1.30595,0,1
0.46612,1.28245,0.2947,0.85294
0.50585,1.28633,0.29333,0.86389
0.51615,1.29723,0.28775,0.86672
0.48934,1.29037,0.29861,0.85934
0.4236,1.23982,0.27066,0.84123
0.62161,1.32617,0.53666,0.89577
0.00561,0.99141,0.66516,0.719
0,0.59629,0.85339,0.39095
0.47415,0.57591,0.58817,0.50471
0.51422,0.58702,0.63345,0.52493
0.48261,0.57304,0.63332,0.50467
0.50955,0.58046,0.63342,0.51822
0.12835,0.28488,0.63339,0.16896
0.92684,0.61633,0.91148,0.66281
